,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,cv_f1_weighted_mean,cv_f1_weighted_std
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9021164021164021,0.7476199521749324,0.7274435989544564,0.7331419785094921,0.8872396452983484,0.9021164021164021,0.893083100014221,0.9154334038054969,0.8379328560176713,0.8075112196232886,0.8176185908330741,0.9089972587926387,0.9154334038054969,0.9099008948767917,0.9042258009876697,0.00943016378327683
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8941798941798942,0.7130010104486568,0.7163590706104731,0.7094078368280783,0.8833808359299022,0.8941798941798942,0.8868932247589342,0.904862579281184,0.813396296049784,0.7502503453983964,0.7634476845472041,0.9003619981340771,0.904862579281184,0.8981992514279599,0.8969231485026997,0.016839137608323212
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.7677663964718595,0.713682950290594,0.7280988701551625,0.878491515821853,0.8888888888888888,0.8814150594408998,0.8731501057082452,0.7794727345769531,0.7468437738118988,0.7468366515930106,0.879195352300486,0.8731501057082452,0.8724273073170402,0.8923703281140934,0.016761544352935764
Decision Tree,0.9821192052980132,0.9629084058560107,0.9893914463351645,0.9734387425600062,0.9839387498625335,0.9821192052980132,0.9826196703034691,0.8756613756613757,0.8421517320333372,0.8423437715295818,0.8246424522873781,0.8872844780781686,0.8756613756613757,0.8775897369495144,0.8710359408033826,0.8336961197574236,0.8161712600774453,0.8125569100901469,0.8782147478445668,0.8710359408033826,0.8713331715233412,0.8759843308762875,0.01697106838858378
Logistic Regression,0.8602649006622517,0.7258155718936276,0.920878226281445,0.7865986698106131,0.8898694939797034,0.8602649006622517,0.8675549238623088,0.828042328042328,0.6705623880859044,0.8293940260250654,0.7135945802473727,0.8563569044261095,0.828042328042328,0.8336345767925226,0.7928118393234672,0.6463771175061497,0.8416040463376901,0.6949636725402097,0.8475816729891613,0.7928118393234672,0.8082484118815912,0.8252157217358445,0.010865795493214746
SVM (RBF),0.8390728476821192,0.7020193268277154,0.9127303244803135,0.7624018228005969,0.8833965157288544,0.8390728476821192,0.8497890291224931,0.8042328042328042,0.6331882733924142,0.7695183221195819,0.6661223098260556,0.8440745687947128,0.8042328042328042,0.8122250512742545,0.7695560253699789,0.6250435348179046,0.8125583075272858,0.6649927774818994,0.8285819886982232,0.7695560253699789,0.784680296089159,0.7842941924571536,0.00909996864413993
K-Nearest Neighbors,0.8894039735099337,0.8215985020024659,0.7532603446486646,0.7738418469827086,0.888142376128691,0.8894039735099337,0.8853160195928038,0.7936507936507936,0.4992472661123009,0.4904358681525339,0.48808969600523555,0.7717478982885339,0.7936507936507936,0.7755064187066446,0.7801268498942917,0.658127347212231,0.5796990241984101,0.6044206905189844,0.769529046736654,0.7801268498942917,0.7683684360271593,0.7869846717526505,0.011440233301170045
Naive Bayes,0.3483443708609272,0.4627019624312213,0.6570292406489386,0.36456163066635044,0.7581064251639349,0.3483443708609272,0.3604687843735825,0.328042328042328,0.4312108620538315,0.5213801607416493,0.3269529702668363,0.7018385355716312,0.328042328042328,0.3423467082074142,0.30021141649048627,0.41895039395774686,0.6085072894973929,0.32467763540494865,0.6944189751418329,0.30021141649048627,0.3053826038529707,0.35008784277502975,0.01529580844224501
