,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_f1_mean,cv_f1_std
Gradient Boosting,0.9528028624978702,0.9194407456724367,0.8985035783994795,0.9088515959197104,0.9900709402002077,0.9434604904632152,0.8849104859335039,0.9010416666666666,0.8929032258064517,0.9813155846402215,0.9438692098092643,0.8935281837160751,0.8916666666666667,0.8925964546402503,0.9831549815498156,0.8878532014606366,0.012411688802129624
XGBoost,0.9822797750894531,0.9382262996941896,0.9980481457384516,0.9672131147540983,0.9995992210605615,0.9407356948228883,0.8398169336384439,0.9557291666666666,0.8940316686967114,0.9872590425123,0.9384196185286103,0.8429906542056075,0.9395833333333333,0.8886699507389163,0.9859386531365314,0.8920920163474545,0.010807240994386796
Decision Tree,0.9620037485091157,0.8732954545454545,1.0,0.932362754018805,0.9974497933701837,0.9243869209809265,0.8013245033112583,0.9453125,0.8673835125448028,0.9537988641605166,0.9340599455040872,0.8245931283905967,0.95,0.882865440464666,0.9595641143911439,0.8680395913283864,0.022441536669890107
Random Forest,0.9834724825353552,0.9422604422604423,0.9980481457384516,0.969352290679305,0.9995634761148668,0.94141689373297,0.8514150943396226,0.9401041666666666,0.8935643564356436,0.9863089060578105,0.9329700272479564,0.847953216374269,0.90625,0.8761329305135952,0.9840052275522755,0.886623062156791,0.012569464542508674
SVM (RBF),0.9170216391208043,0.7777777777777778,0.9564085881587508,0.8578932010504815,0.9714006641951591,0.885558583106267,0.7213114754098361,0.9166666666666666,0.8073394495412844,0.9547610124538745,0.9024523160762943,0.754653130287648,0.9291666666666667,0.8328664799253035,0.9613614698646986,0.8271552361495221,0.015800117323511
K-Nearest Neighbors,0.9149769977849719,0.8644662921348315,0.8009108653220559,0.8314758527524485,0.9777173818359205,0.8930517711171662,0.7994722955145118,0.7890625,0.7942332896461337,0.9365006150061499,0.8893732970027248,0.8098434004474273,0.7541666666666667,0.7810140237324703,0.9362284747847478,0.7664700032913128,0.008915654182309392
Naive Bayes,0.8630090304992333,0.7770219198790628,0.6688353936239427,0.7188811188811188,0.8866188345225287,0.8528610354223434,0.7346368715083799,0.6848958333333334,0.7088948787061995,0.89197392950492,0.8643051771117166,0.766743648960739,0.6916666666666667,0.7272727272727273,0.9019303505535056,0.7171062666740614,0.011478561068996985
SVM (Linear),0.806781393763844,0.6170830912260313,0.6909564085881588,0.6519337016574586,0.8180982517417401,0.8092643051771117,0.6145374449339207,0.7265625,0.665871121718377,0.8301694149753998,0.8141689373297003,0.6323809523809524,0.6916666666666667,0.6606965174129353,0.8236369926199263,0.6493572641901939,0.023861559562451094
Logistic Regression,0.7795195092860794,0.5623396613648025,0.7130774235523748,0.6288009179575444,0.822272600567954,0.782016348773842,0.564,0.734375,0.6380090497737556,0.8293562134840099,0.7940054495912806,0.584717607973422,0.7333333333333333,0.6506469500924215,0.824814729397294,0.6270289374629282,0.013687136384298531
